[ 2015-03-06T13:30:25+08:00 ] 127.0.0.1 /index.php/zixun
INFO: [ app_init ] --START--
INFO: Run Behavior\BuildLiteBehavior [ RunTime:0.000013s ]
INFO: [ app_init ] --END-- [ RunTime:0.000350s ]
INFO: [ app_begin ] --START--
INFO: Run Behavior\ReadHtmlCacheBehavior [ RunTime:0.000503s ]
INFO: [ app_begin ] --END-- [ RunTime:0.000553s ]
INFO: [ view_parse ] --START--
INFO: [ template_filter ] --START--
INFO: Run Behavior\ContentReplaceBehavior [ RunTime:0.000079s ]
INFO: [ template_filter ] --END-- [ RunTime:0.000147s ]
INFO: Run Behavior\ParseTemplateBehavior [ RunTime:0.032136s ]
INFO: [ view_parse ] --END-- [ RunTime:0.032212s ]
INFO: [ view_filter ] --START--
INFO: Run Behavior\WriteHtmlCacheBehavior [ RunTime:0.000370s ]
INFO: [ view_filter ] --END-- [ RunTime:0.000415s ]
INFO: [ app_end ] --START--
INFO: Run Behavior\ShowPageTraceBehavior [ RunTime:0.000682s ]
INFO: [ app_end ] --END-- [ RunTime:0.000752s ]

[ 2015-03-06T13:40:15+08:00 ] 127.0.0.1 /index.php
INFO: [ app_init ] --START--
INFO: Run Behavior\BuildLiteBehavior [ RunTime:0.000015s ]
INFO: [ app_init ] --END-- [ RunTime:0.000308s ]
INFO: [ app_begin ] --START--
INFO: Run Behavior\ReadHtmlCacheBehavior [ RunTime:0.000474s ]
INFO: [ app_begin ] --END-- [ RunTime:0.000549s ]
INFO: [ view_parse ] --START--
INFO: [ template_filter ] --START--
INFO: Run Behavior\ContentReplaceBehavior [ RunTime:0.000075s ]
INFO: [ template_filter ] --END-- [ RunTime:0.000133s ]
INFO: Run Behavior\ParseTemplateBehavior [ RunTime:0.009533s ]
INFO: [ view_parse ] --END-- [ RunTime:0.009588s ]
INFO: [ view_filter ] --START--
INFO: Run Behavior\WriteHtmlCacheBehavior [ RunTime:0.000237s ]
INFO: [ view_filter ] --END-- [ RunTime:0.000281s ]
INFO: [ app_end ] --START--
INFO: Run Behavior\ShowPageTraceBehavior [ RunTime:0.000579s ]
INFO: [ app_end ] --END-- [ RunTime:0.000631s ]

[ 2015-03-06T13:40:17+08:00 ] 127.0.0.1 /index.php/Zixun/Zixun/details
INFO: [ app_init ] --START--
INFO: Run Behavior\BuildLiteBehavior [ RunTime:0.000014s ]
INFO: [ app_init ] --END-- [ RunTime:0.000285s ]
INFO: [ app_begin ] --START--
INFO: Run Behavior\ReadHtmlCacheBehavior [ RunTime:0.000415s ]
INFO: [ app_begin ] --END-- [ RunTime:0.000462s ]
SQL: SHOW COLUMNS FROM `tk_financing` [ RunTime:0.0467s ]
NOTIC: [8] Undefined index: currentuser E:\xampp\htdocs\Application\Common\Common\function.php 第 698 行.
NOTIC: [8] Undefined index: ids E:\xampp\htdocs\Application\Zixun\Controller\ZixunController.class.php 第 29 行.
NOTIC: [8] Undefined index: id E:\xampp\htdocs\Application\Zixun\Controller\ZixunController.class.php 第 34 行.
INFO: [ view_parse ] --START--
INFO: [ template_filter ] --START--
INFO: Run Behavior\ContentReplaceBehavior [ RunTime:0.000216s ]
INFO: [ template_filter ] --END-- [ RunTime:0.000304s ]
NOTIC: [8] Undefined variable: article E:\xampp\htdocs\Application\Runtime\Cache\Zixun\73c120a2a20c5f35f0f87b4260d7f318.php 第 309 行.
NOTIC: [8] Undefined variable: article E:\xampp\htdocs\Application\Runtime\Cache\Zixun\73c120a2a20c5f35f0f87b4260d7f318.php 第 310 行.
NOTIC: [8] Undefined variable: article E:\xampp\htdocs\Application\Runtime\Cache\Zixun\73c120a2a20c5f35f0f87b4260d7f318.php 第 311 行.
NOTIC: [8] Undefined variable: article E:\xampp\htdocs\Application\Runtime\Cache\Zixun\73c120a2a20c5f35f0f87b4260d7f318.php 第 312 行.
NOTIC: [8] Undefined variable: article E:\xampp\htdocs\Application\Runtime\Cache\Zixun\73c120a2a20c5f35f0f87b4260d7f318.php 第 313 行.
NOTIC: [8] Undefined variable: article E:\xampp\htdocs\Application\Runtime\Cache\Zixun\73c120a2a20c5f35f0f87b4260d7f318.php 第 314 行.
NOTIC: [8] Undefined variable: article E:\xampp\htdocs\Application\Runtime\Cache\Zixun\73c120a2a20c5f35f0f87b4260d7f318.php 第 318 行.
NOTIC: [8] Undefined variable: article E:\xampp\htdocs\Application\Runtime\Cache\Zixun\73c120a2a20c5f35f0f87b4260d7f318.php 第 319 行.
NOTIC: [8] Undefined variable: article E:\xampp\htdocs\Application\Runtime\Cache\Zixun\73c120a2a20c5f35f0f87b4260d7f318.php 第 320 行.
NOTIC: [8] Undefined variable: article E:\xampp\htdocs\Application\Runtime\Cache\Zixun\73c120a2a20c5f35f0f87b4260d7f318.php 第 321 行.
NOTIC: [8] Undefined variable: article E:\xampp\htdocs\Application\Runtime\Cache\Zixun\73c120a2a20c5f35f0f87b4260d7f318.php 第 322 行.
NOTIC: [8] Undefined variable: article E:\xampp\htdocs\Application\Runtime\Cache\Zixun\73c120a2a20c5f35f0f87b4260d7f318.php 第 323 行.
NOTIC: [8] Undefined variable: article E:\xampp\htdocs\Application\Runtime\Cache\Zixun\73c120a2a20c5f35f0f87b4260d7f318.php 第 328 行.
